Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across
ecostress_au_ync,ecostress_au_ync,322,,,POINT(146.2907 -34.9893),"POLYGON((146.071160037282 -35.16937539439802,146.0721205463286 -34.80882400526973,146.5092794536714 -34.80882400526973,146.5102399627181 -35.16937539439802,146.071160037282 -35.16937539439802))",1,Area Mapping Mode,1,0,1,1,POINT(146.294702 -34.98623),"POLYGON((146.12088 -35.426315,145.746414 -35.097301,146.46666 -34.545898,146.841492 -34.8727,146.12088 -35.426315))",90,50,POINT(146.294703 -34.992369),"POLYGON((145.747879 -34.878849,146.122711 -34.55204,146.843033 -35.103428,146.468552 -35.432453,145.747879 -34.878849))",90,50
ecostress_bdog,ecostress_bdog,350,,,POINT(-1.481935 51.530216),"POLYGON((-1.769011261461884 51.35009981825127,-1.771281352657041 51.70961867319674,-1.192588647342944 51.70961867319674,-1.194858738538102 51.35009981825127,-1.769011261461884 51.35009981825127))",3,Area Mapping Mode,1,0,1,1,POINT(-1.474763 51.530734),"POLYGON((-2.074999 51.259464,-2.164547 51.705143,-0.867373 51.798904,-0.790304 51.352314,-2.074999 51.259464))",90,50,POINT(-1.474763 51.529697),"POLYGON((-2.159231 51.351311,-2.082103 51.797901,-0.784971 51.704067,-0.874577 51.258396,-2.159231 51.351311))",90,50
ecostress_be_lon,ecostress_be_lon,298,,,POINT(5.9981 50.305),"POLYGON((5.718417781356493 50.12486078489908,5.716300934005204 50.48445573750933,6.279899065994783 50.48445573750933,6.277782218643495 50.12486078489908,5.718417781356493 50.12486078489908))",5,Area Mapping Mode,1,0,1,1,POINT(6.004887 50.306176),"POLYGON((5.489194 49.982712,5.300485 50.415318,6.527617 50.627327,6.706001 50.192799,5.489194 49.982712))",90,50,POINT(6.004887 50.303823),"POLYGON((5.303646 50.190849,5.482637 50.625275,6.709404 50.41256,6.520099 49.980061,5.303646 50.190849))",90,50
ecostress_be_vie,ecostress_be_vie,297,,,POINT(4.746112999999999 50.55184000000001),"POLYGON((4.464982311066393 50.37170551397033,4.462835709727585 50.73128508321069,5.029390290272431 50.73128508321069,5.027243688933623 50.37170551397033,4.464982311066393 50.37170551397033))",3,Area Mapping Mode,1,0,1,1,POINT(4.752975 50.552919),"POLYGON((4.223882 50.236561,4.048651 50.671638,5.289189 50.866848,5.453698 50.429974,4.223882 50.236561))",90,50,POINT(4.752975 50.55076),"POLYGON((4.05227 50.427849,4.216822 50.864712,5.45728 50.669445,5.282007 50.234379,4.05227 50.427849))",90,50
ecostress_br_cmt,ecostress_br_cmt,333,,,POINT(-56.0882 -13.2875),"POLYGON((-56.27291010670355 -13.46820880551857,-56.27263679222582 -13.1066547824628,-55.90376320777419 -13.1066547824628,-55.90348989329647 -13.46820880551857,-56.27291010670355 -13.46820880551857))",3,Area Mapping Mode,1,0,1,1,POINT(-56.085454 -13.28389),"POLYGON((-56.147198 -13.742413,-56.518375 -13.474842,-56.023945 -12.825353,-55.653217 -13.092207,-56.147198 -13.742413))",90,50,POINT(-56.085454 -13.29111),"POLYGON((-56.517719 -13.099461,-56.147003 -12.832577,-55.652504 -13.482028,-56.02367 -13.749628,-56.517719 -13.099461))",90,50
ecostress_br_no,ecostress_br_no,312,,,POINT(-56.76666700000001 -16.616667),"POLYGON((-56.95428493189533 -16.7973053035508,-56.95393421567819 -16.43585648135678,-56.57939978432185 -16.43585648135678,-56.57904906810469 -16.7973053035508,-56.95428493189533 -16.7973053035508))",3,Area Mapping Mode,1,0,1,1,POINT(-56.763825 -16.613095),"POLYGON((-56.833405 -17.070711,-57.206402 -16.797916,-56.694576 -16.155457,-56.322102 -16.427338,-56.833405 -17.070711))",90,50,POINT(-56.763825 -16.620239),"POLYGON((-57.20557 -16.434494,-56.833088 -16.162601,-56.321228 -16.805048,-56.694229 -17.077852,-57.20557 -16.434494))",90,50
ecostress_ca_pr_emss,ecostress_ca_pr_emss,286,,,POINT(-118.344 56.7438),"POLYGON((-118.669302470728 56.56376657836598,-118.6724209497067 56.92297139684919,-118.0155790502933 56.92297139684919,-118.018697529272 56.56376657836598,-118.669302470728 56.56376657836598))",2,Area Mapping Mode,1,0,1,1,POINT(-118.32581 56.753834),"POLYGON((-119.055392 56.524057,-119.070406 56.973139,-117.587328 56.979296,-117.589937 56.530145,-119.055392 56.524057))",90,50,POINT(-118.32581 56.753766),"POLYGON((-119.061671 56.530069,-119.064295 56.979219,-117.581225 56.973078,-117.596216 56.524,-119.061671 56.530069))",90,50
ecostress_ca_tp,ecostress_ca_tp,279,,,POINT(-80.431 42.713075),"POLYGON((-80.67443943915981 42.53277476427549,-80.67585078797453 42.89284916078513,-80.18614921202546 42.89284916078513,-80.18756056084018 42.53277476427549,-80.67443943915981 42.53277476427549))",4,Area Mapping Mode,1,0,1,1,POINT(-80.425948 42.715604),"POLYGON((-80.706863 42.302124,-81.05233 42.672043,-80.141266 43.128387,-79.798721 42.755745,-80.706863 42.302124))",90,50,POINT(-80.425948 42.710546),"POLYGON((-81.053108 42.750839,-80.710419 43.123398,-79.799637 42.666836,-80.145233 42.297001,-81.053108 42.750839))",90,50
ecostress_ch_dav,ecostress_ch_dav,343,,,POINT(9.855917 46.815333),"POLYGON((9.594725182637632 46.63512290812367,9.592977204390138 46.99493739703703,10.11885679560987 46.99493739703703,10.11710881736238 46.63512290812367,9.594725182637632 46.63512290812367))",2,Area Mapping Mode,1,0,1,1,POINT(9.86179 46.817339),"POLYGON((9.482484 46.435249,9.186456 46.835777,10.246516 47.198158,10.536612 46.79493,9.482484 46.435249))",90,50,POINT(9.861789 46.813327),"POLYGON((9.187003 46.791111,9.477324 47.194256,10.537083 46.831573,10.240837 46.431129,9.187003 46.791111))",90,50
ecostress_ch_fru,ecostress_ch_fru,344,,,POINT(8.537778 47.115833),"POLYGON((8.275128651217187 46.93562926785075,8.273352308811297 47.29542474237181,8.802203691188708 47.29542474237181,8.800427348782819 46.93562926785075,8.275128651217187 46.93562926785075))",2,Area Mapping Mode,1,0,1,1,POINT(8.543721 47.117788),"POLYGON((8.155282 46.738998,7.86494 47.142044,8.93772 47.495243,9.221833 47.089527,8.155282 46.738998))",90,50,POINT(8.54372 47.113878),"POLYGON((7.865638 47.085831,8.150005 47.491455,9.222466 47.13792,8.931877 46.73497,7.865638 47.085831))",90,50
ecostress_ch_lae,ecostress_ch_lae,342,,,POINT(8.364389 47.478333),"POLYGON((8.099949787487077 47.29813688322951,8.098138452350668 47.65790943923712,8.63063954764931 47.65790943923712,8.6288282125129 47.29813688322951,8.099949787487077 47.29813688322951))",3,Area Mapping Mode,1,0,1,1,POINT(8.370418 47.480223),"POLYGON((7.970529 47.105675,7.687572 47.511791,8.776039 47.853359,9.052391 47.444607,7.970529 47.105675))",90,50,POINT(8.370417 47.476442),"POLYGON((7.688488 47.440865,7.964873 47.849602,9.053217 47.507973,8.77023 47.101871,7.688488 47.440865))",90,50
ecostress_cr_fsc,ecostress_cr_fsc,334,,,POINT(-85.4732 10.4189),"POLYGON((-85.65575066850612 10.23803328948057,-85.65596127629537 10.59966042826978,-85.29043872370465 10.59966042826978,-85.29064933149391 10.23803328948057,-85.65575066850612 10.23803328948057))",3,Area Mapping Mode,1,0,1,1,POINT(-85.470518 10.422535),"POLYGON((-85.527039 9.963457,-85.896469 10.226989,-85.413834 10.881603,-85.044029 10.617517,-85.527039 9.963457))",90,50,POINT(-85.470518 10.415265),"POLYGON((-85.897003 10.610235,-85.527214 10.874331,-85.044571 10.219731,-85.413986 9.956188,-85.897003 10.610235))",90,50
ecostress_cr_srnp_emss,ecostress_cr_srnp_emss,285,,,POINT(-85.6156 10.8418),"POLYGON((-85.79839772832108 10.66093594900254,-85.79861738822184 11.02255336196035,-85.43258261177814 11.02255336196035,-85.43280227167892 10.66093594900254,-85.79839772832108 10.66093594900254))",1,Area Mapping Mode,1,0,1,1,POINT(-85.52138 10.968898),"POLYGON((-85.578766 10.509912,-85.948418 10.774031,-85.463814 11.427873,-85.093781 11.16317,-85.578766 10.509912))",90,50,POINT(-85.516094 10.707401),"POLYGON((-85.943161 10.902009,-85.573242 11.16642,-85.089577 10.512213,-85.459122 10.248371,-85.943161 10.902009))",90,50
ecostress_cz_bk1,ecostress_cz_bk1,327,,,POINT(18.5369 49.5021),"POLYGON((18.2617925274287 49.32194511519452,18.25976881522092 49.6815902666869,18.81403118477908 49.6815902666869,18.81200747257131 49.32194511519452,18.2617925274287 49.32194511519452))",4,Area Mapping Mode,1,0,1,1,POINT(18.543455 49.503533),"POLYGON((18.06715 49.160744,17.84199 49.585297,19.026461 49.844337,19.242519 49.417542,18.06715 49.160744))",90,50,POINT(18.543455 49.500667),"POLYGON((17.844427 49.414692,18.060493 49.841484,19.244883 49.582417,19.019716 49.157867,17.844427 49.414692))",90,50
ecostress_de_rus,ecostress_de_rus,278,,,POINT(6.4472 50.8659),"POLYGON((6.164196848134679 50.68577146775371,6.162011592189288 51.04533150105323,6.732388407810731 51.04533150105323,6.730203151865339 50.68577146775371,6.164196848134679 50.68577146775371))",3,Area Mapping Mode,1,0,1,1,POINT(6.45416 50.866838),"POLYGON((5.905685 50.561485,5.751435 50.999924,7.009836 51.169586,7.152822 50.729557,5.905685 50.561485))",90,50,POINT(6.454159 50.864961),"POLYGON((5.75527 50.728191,5.899064 51.168118,7.157097 50.997532,7.002051 50.559208,5.75527 50.728191))",90,50
ecostress_de_tha,ecostress_de_tha,299,,,POINT(13.56516 50.96235),"POLYGON((13.28157505294539 50.78222328167838,13.27937774248022 51.14177732391667,13.85094225751976 51.14177732391667,13.8487449470546 50.78222328167838,13.28157505294539 50.78222328167838))",3,Area Mapping Mode,1,0,1,1,POINT(13.572149 50.963244),"POLYGON((13.017693 50.6614,12.870101 51.100792,14.133825 51.262432,14.269989 50.82151,13.017693 50.6614))",90,50,POINT(13.572149 50.961456),"POLYGON((12.874335 50.819725,13.010495 51.260643,14.27417 51.099007,14.126584 50.659611,12.874335 50.819725))",90,50
ecostress_efgf,ecostress_efgf,347,,,POINT(-0.192985 52.470474),"POLYGON((-0.4861001079088396 52.29037469548514,-0.4884978964281004 52.64983563975027,0.1025278964281142 52.64983563975027,0.1001301079088535 52.29037469548514,-0.4861001079088396 52.29037469548514))",3,Area Mapping Mode,1,0,1,1,POINT(-0.175612 52.480508),"POLYGON((-0.832981 52.251043,-0.845335 52.700136,0.488591 52.706289,0.487404 52.257135,-0.832981 52.251043))",90,50,POINT(-0.175612 52.48044),"POLYGON((-0.838618 52.257059,-0.839823 52.706213,0.494101 52.700079,0.481765 52.250986,-0.838618 52.257059))",90,50
ecostress_fr_fon,ecostress_fr_fon,308,,,POINT(2.7801 48.4764),"POLYGON((2.510547286377914 48.29622450586436,2.508634980382169 48.6559340963398,3.05156501961784 48.6559340963398,3.049652713622095 48.29622450586436,2.510547286377914 48.29622450586436))",4,Area Mapping Mode,1,0,1,1,POINT(2.786379 48.478088),"POLYGON((2.351685 48.117226,2.09321 48.5322,3.227288 48.837288,3.478014 48.419823,2.351685 48.117226))",90,50,POINT(2.786378 48.474711),"POLYGON((2.094734 48.416721,2.345829 48.834087,3.479548 48.528545,3.220716 48.113674,2.094734 48.416721))",90,50
ecostress_il_yat,ecostress_il_yat,300,,,POINT(35.0519 31.3451),"POLYGON((34.84212407287703 31.16454393319275,34.84132196042358 31.52530678162645,35.26247803957639 31.52530678162645,35.26167592712295 31.16454393319275,34.84212407287703 31.16454393319275))",2,Area Mapping Mode,1,0,1,1,POINT(35.055559 31.348327),"POLYGON((34.915836 30.901627,34.538105 31.213131,35.196617 31.794874,35.57449 31.481441,34.915836 30.901627))",90,50,POINT(35.055559 31.341873),"POLYGON((34.536686 31.475056,34.914593 31.788439,35.572952 31.206608,35.195194 30.895155,34.536686 31.475056))",90,50
ecostress_it_cp2,ecostress_it_cp2,354,,,POINT(12.3573 41.7043),"POLYGON((12.11767934098208 41.5239769331528,12.11633848155083 41.8841149830624,12.59826151844919 41.8841149830624,12.59692065901794 41.5239769331528,12.11767934098208 41.5239769331528))",2,Area Mapping Mode,1,0,1,1,POINT(12.719861 41.897756),"POLYGON((12.454206 41.480034,12.102967 41.844566,12.989011 42.314857,13.33775 41.947636,12.454206 41.480034))",90,50,POINT(12.4673 41.8143),"POLYGON((11.850366 41.865227,12.19978 42.231857,13.083222 41.760078,12.731352 41.396133,11.850366 41.865227))",90,50
ecostress_it_tor,ecostress_it_tor,307,,,POINT(7.5781 45.8444),"POLYGON((7.321460976111894 45.66416909143581,7.319800854185019 46.0240450889006,7.836399145814994 46.0240450889006,7.834739023888119 45.66416909143581,7.321460976111894 45.66416909143581))",2,Area Mapping Mode,1,0,1,1,POINT(7.583756 45.846557),"POLYGON((7.231806 45.454994,6.919885 45.847675,7.940689 46.237022,8.247554 45.841595,7.231806 45.454994))",90,50,POINT(7.583755 45.842243),"POLYGON((6.920004 45.837456,7.227062 46.232803,8.247574 45.843189,7.935468 45.450588,6.920004 45.837456))",90,50
ecostress_ke_mak,ecostress_ke_mak,345,,,POINT(38.140667 -3.425806),"POLYGON((37.96064978476159 -3.60665518821377,37.96071735416851 -3.244922176761445,38.32061664583151 -3.244922176761445,38.32068421523843 -3.60665518821377,37.96064978476159 -3.60665518821377))",1,Area Mapping Mode,1,0,1,1,POINT(38.143262 -3.422136),"POLYGON((38.093479 -3.881896,37.725826 -3.622764,38.192997 -2.962374,38.560524 -3.221327,38.093479 -3.881896))",90,50,POINT(38.143262 -3.429475),"POLYGON((37.726009 -3.228643,38.093552 -2.96971,38.560692 -3.630125,38.19302 -3.889237,37.726009 -3.228643))",90,50
